"tcg","editionCode","editionName","cardCode","cardName","cardNumber","rarity","tags","imageUrl","condition","quantity","referencePrice","marginMultiplier"
"YUGIOH","RA05","Rarity Collection 5","686703","Tri-Horned Dragon (Collector's Rare)","RA05-EN001","Collector's Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686703_200w.jpg","NM","0","19.97","1"
"YUGIOH","RA05","Rarity Collection 5","686707","Tri-Horned Dragon (Ultimate Rare)","RA05-EN001","Ultimate Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686707_200w.jpg","NM","0","14.97","1"
"YUGIOH","RA05","Rarity Collection 5","686708","Tri-Horned Dragon (Ultra Rare)","RA05-EN001","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686708_200w.jpg","NM","0","4.85","1"
"YUGIOH","RA05","Rarity Collection 5","686712","PSY-Frame Driver","RA05-EN002","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686712_200w.jpg","NM","0","8.52","1"
"YUGIOH","RA05","Rarity Collection 5","686709","PSY-Frame Driver (Collector's Rare)","RA05-EN002","Collector's Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686709_200w.jpg","NM","0","21.87","1"
"YUGIOH","RA05","Rarity Collection 5","686710","PSY-Frame Driver (Platinum Secret Rare)","RA05-EN002","Platinum Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686710_200w.jpg","NM","0","19.69","1"
"YUGIOH","RA05","Rarity Collection 5","686711","PSY-Frame Driver (Secret Rare)","RA05-EN002","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686711_200w.jpg","NM","0","9.69","1"
"YUGIOH","RA05","Rarity Collection 5","686713","PSY-Frame Driver (Ultimate Rare)","RA05-EN002","Ultimate Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686713_200w.jpg","NM","0","16.37","1"
"YUGIOH","RA05","Rarity Collection 5","686714","PSY-Frame Driver (Ultra Rare)","RA05-EN002","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686714_200w.jpg","NM","0","4.85","1"
"YUGIOH","RA05","Rarity Collection 5","686718","Blue-Eyes Toon Dragon","RA05-EN003","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/686718_200w.jpg","NM","0","6.96","1"
