"tcg","editionCode","editionName","cardCode","cardName","cardNumber","rarity","tags","imageUrl","condition","quantity","referencePrice","marginMultiplier"
"YUGIOH","BPRO","Burst Protocol","674802","Rokket Loader","BPRO-EN001","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674802_200w.jpg","NM","0","5.19","1"
"YUGIOH","BPRO","Burst Protocol","674764","Rokket Loader (Starlight Rare)","BPRO-EN001","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674764_200w.jpg","NM","0","39.07","1"
"YUGIOH","BPRO","Burst Protocol","674723","Hollowrokket Dragon","BPRO-EN002","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674723_200w.jpg","NM","0","0.11","1"
"YUGIOH","BPRO","Burst Protocol","674733","Rokket Detonator","BPRO-EN003","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674733_200w.jpg","NM","0","0.19","1"
"YUGIOH","BPRO","Burst Protocol","674790","Tellusion the Magna Warrior","BPRO-EN004","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674790_200w.jpg","NM","0","0.29","1"
"YUGIOH","BPRO","Burst Protocol","674727","Magnet Warrior Sigma Plus","BPRO-EN005","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674727_200w.jpg","NM","0","0.21","1"
"YUGIOH","BPRO","Burst Protocol","674726","Magnet Warrior Sigma Minus","BPRO-EN006","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674726_200w.jpg","NM","0","0.18","1"
"YUGIOH","BPRO","Burst Protocol","674785","Junk Warrior/Assault Mode","BPRO-EN007","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674785_200w.jpg","NM","0","0.22","1"
"YUGIOH","BPRO","Burst Protocol","674774","Crimson Blader/Assault Mode","BPRO-EN008","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674774_200w.jpg","NM","0","0.2","1"
"YUGIOH","BPRO","Burst Protocol","674742","Elfnote Lucina","BPRO-EN010","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674742_200w.jpg","NM","0","41.02","1"
"YUGIOH","BPRO","Burst Protocol","674753","Elfnote Lucina (Starlight Rare)","BPRO-EN010","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674753_200w.jpg","NM","0","92.6","1"
"YUGIOH","BPRO","Burst Protocol","674796","Elfnote Tinia","BPRO-EN011","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674796_200w.jpg","NM","0","11.5","1"
"YUGIOH","BPRO","Burst Protocol","674755","Elfnote Tinia (Starlight Rare)","BPRO-EN011","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674755_200w.jpg","NM","0","55.21","1"
"YUGIOH","BPRO","Burst Protocol","674776","Elfnote Fortuna","BPRO-EN012","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674776_200w.jpg","NM","0","0.28","1"
"YUGIOH","BPRO","Burst Protocol","674777","Elfnote Power Patron","BPRO-EN013","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674777_200w.jpg","NM","0","0.27","1"
"YUGIOH","BPRO","Burst Protocol","674803","Royal Archfiend","BPRO-EN014","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674803_200w.jpg","NM","0","0.79","1"
"YUGIOH","BPRO","Burst Protocol","674765","Royal Archfiend (Starlight Rare)","BPRO-EN014","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674765_200w.jpg","NM","0","13.83","1"
"YUGIOH","BPRO","Burst Protocol","674712","Duke Archfiend","BPRO-EN015","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674712_200w.jpg","NM","0","0.15","1"
"YUGIOH","BPRO","Burst Protocol","674783","Highness Archfiend","BPRO-EN016","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674783_200w.jpg","NM","0","0.23","1"
"YUGIOH","BPRO","Burst Protocol","675335","Rex, Ride Fur Hire","BPRO-EN017","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675335_200w.jpg","NM","0","0.25","1"
"YUGIOH","BPRO","Burst Protocol","674709","Darklord Gulgolet","BPRO-EN018","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674709_200w.jpg","NM","0","0.25","1"
"YUGIOH","BPRO","Burst Protocol","674775","Darklord Djehuty","BPRO-EN019","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674775_200w.jpg","NM","0","0.28","1"
"YUGIOH","BPRO","Burst Protocol","674738","Vic Viper Type-L","BPRO-EN020","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674738_200w.jpg","NM","0","0.08","1"
"YUGIOH","BPRO","Burst Protocol","674770","B.E.S. Derringer Core","BPRO-EN021","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674770_200w.jpg","NM","0","0.14","1"
"YUGIOH","BPRO","Burst Protocol","674789","Super B.E.S. Metal Slave","BPRO-EN022","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674789_200w.jpg","NM","0","0.17","1"
"YUGIOH","BPRO","Burst Protocol","674801","Rescue-ACE Quick Attacker","BPRO-EN023","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674801_200w.jpg","NM","0","0.58","1"
"YUGIOH","BPRO","Burst Protocol","674763","Rescue-ACE Quick Attacker (Starlight Rare)","BPRO-EN023","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674763_200w.jpg","NM","0","13.77","1"
"YUGIOH","BPRO","Burst Protocol","674743","Fallen of the White Dragon","BPRO-EN024","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674743_200w.jpg","NM","0","59.16","1"
"YUGIOH","BPRO","Burst Protocol","674757","Fallen of the White Dragon (Starlight Rare)","BPRO-EN024","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674757_200w.jpg","NM","0","166.8","1"
"YUGIOH","BPRO","Burst Protocol","674748","Tri-Brigade Springans Kitt","BPRO-EN025","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674748_200w.jpg","NM","0","7.68","1"
"YUGIOH","BPRO","Burst Protocol","674768","Tri-Brigade Springans Kitt (Starlight Rare)","BPRO-EN025","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674768_200w.jpg","NM","0","30.86","1"
"YUGIOH","BPRO","Burst Protocol","675324","Derk, Longing for the Blue Skies","BPRO-EN026","Common","","https://tcgplayer-cdn.tcgplayer.com/product/675324_200w.jpg","NM","0","0.08","1"
"YUGIOH","BPRO","Burst Protocol","675338","Shiina, Twin Tempests of Celestial Thunder","BPRO-EN027","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675338_200w.jpg","NM","0","10.16","1"
"YUGIOH","BPRO","Burst Protocol","675339","Shiina, Twin Tempests of Celestial Thunder (Starlight Rare)","BPRO-EN027","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675339_200w.jpg","NM","0","39.43","1"
"YUGIOH","BPRO","Burst Protocol","674717","Fist Armed Dragon","BPRO-EN028","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674717_200w.jpg","NM","0","0.15","1"
"YUGIOH","BPRO","Burst Protocol","675341","WAKE CUP! Earl","BPRO-EN029","Common","","https://tcgplayer-cdn.tcgplayer.com/product/675341_200w.jpg","NM","0","0.08","1"
"YUGIOH","BPRO","Burst Protocol","674716","First Penguin","BPRO-EN030","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674716_200w.jpg","NM","0","0.19","1"
"YUGIOH","BPRO","Burst Protocol","674793","Archfiend Emperor","BPRO-EN031","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674793_200w.jpg","NM","0","0.34","1"
"YUGIOH","BPRO","Burst Protocol","674749","Archfiend Emperor (Starlight Rare)","BPRO-EN031","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674749_200w.jpg","NM","0","7.95","1"
"YUGIOH","BPRO","Burst Protocol","674772","Borreload Fatalflare Dragon","BPRO-EN032","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674772_200w.jpg","NM","0","0.26","1"
"YUGIOH","BPRO","Burst Protocol","674707","D/D/D Alfred the Divine Sage King","BPRO-EN033","Common","","https://tcgplayer-cdn.tcgplayer.com/product/674707_200w.jpg","NM","0","0.17","1"
"YUGIOH","BPRO","Burst Protocol","675323","Conduction Warrior Plasma Magnum","BPRO-EN034","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675323_200w.jpg","NM","0","0.41","1"
"YUGIOH","BPRO","Burst Protocol","675321","Artmage Non-Finito","BPRO-EN035","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675321_200w.jpg","NM","0","0.54","1"
"YUGIOH","BPRO","Burst Protocol","675322","Artmage Non-Finito (Starlight Rare)","BPRO-EN035","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675322_200w.jpg","NM","0","16.94","1"
"YUGIOH","BPRO","Burst Protocol","674740","Darklord Eveningstar","BPRO-EN036","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674740_200w.jpg","NM","0","6.68","1"
"YUGIOH","BPRO","Burst Protocol","674751","Darklord Eveningstar (Starlight Rare)","BPRO-EN036","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674751_200w.jpg","NM","0","27.81","1"
"YUGIOH","BPRO","Burst Protocol","675326","Dracotail Shaulas","BPRO-EN037","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675326_200w.jpg","NM","0","0.54","1"
"YUGIOH","BPRO","Burst Protocol","675327","Dracotail Shaulas (Starlight Rare)","BPRO-EN037","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675327_200w.jpg","NM","0","18.3","1"
"YUGIOH","BPRO","Burst Protocol","675331","Nightwinged Cleric","BPRO-EN038","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/675331_200w.jpg","NM","0","0.26","1"
"YUGIOH","BPRO","Burst Protocol","674786","Junora the Power Patron of Tuning","BPRO-EN039","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674786_200w.jpg","NM","0","0.26","1"
"YUGIOH","BPRO","Burst Protocol","674795","Elfnote Seraphim Strelitzia","BPRO-EN040","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674795_200w.jpg","NM","0","0.56","1"
"YUGIOH","BPRO","Burst Protocol","674754","Elfnote Seraphim Strelitzia (Starlight Rare)","BPRO-EN040","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674754_200w.jpg","NM","0","32.28","1"
"YUGIOH","BPRO","Burst Protocol","674741","Ecclesia and the Dark Dragon","BPRO-EN041","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674741_200w.jpg","NM","0","59.32","1"
"YUGIOH","BPRO","Burst Protocol","674752","Ecclesia and the Dark Dragon (Starlight Rare)","BPRO-EN041","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674752_200w.jpg","NM","0","138.6","1"
"YUGIOH","BPRO","Burst Protocol","674792","Zalen the Shackled Dragon","BPRO-EN042","Super Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674792_200w.jpg","NM","0","1.57","1"
"YUGIOH","BPRO","Burst Protocol","674799","K9-X ""Ripper/M""","BPRO-EN043","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674799_200w.jpg","NM","0","0.76","1"
"YUGIOH","BPRO","Burst Protocol","674760","K9-X ""Ripper/M"" (Starlight Rare)","BPRO-EN043","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674760_200w.jpg","NM","0","13.44","1"
"YUGIOH","BPRO","Burst Protocol","674797","Exosister Karmael","BPRO-EN044","Ultra Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674797_200w.jpg","NM","0","3.42","1"
"YUGIOH","BPRO","Burst Protocol","674756","Exosister Karmael (Starlight Rare)","BPRO-EN044","Starlight Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674756_200w.jpg","NM","0","51.19","1"
"YUGIOH","BPRO","Burst Protocol","675330","Gung-Ho! Springans!","BPRO-EN045","Common","","https://tcgplayer-cdn.tcgplayer.com/product/675330_200w.jpg","NM","0","0.09","1"
"YUGIOH","BPRO","Burst Protocol","674747","Topologic Blaster Dragon","BPRO-EN046","Secret Rare","","https://tcgplayer-cdn.tcgplayer.com/product/674747_200w.jpg","NM","0","1.28","1"
